567	63	0			126		171120				168	8	8
51360	120	0	0	0		0						9	9
76956	12	0	0	0		0						9	9
45215	23	0	0	0		0						33	12
22129	121	0	0	0		0						36	15
34648	40	0	0	0		0						40	19
34651	43	0	0	0		0						43	1
69023	143	0	0	0		0						53	11
56338	58	0	0	0		0						56	14
37358	62	0	0	0		0						60	18
26733	21	0	0	0		0						93	9
8515	115	0	0	0		0						101	17
55037	101	0	0	0		0						111	6
85160	152	0	0	0		0						112	7
22214	38	0	0	0		0						112	7
13563	123	0	0	0		0						114	9
62844	12	0	0	0		0						122	17
18213	69	0	0	0		0						129	3
48113	65	0	0	0		0						136	10
68663	119	0	0	0		0						148	1
4760	56	0	0	0		0						168	0
33821	53	0	0	0		0						184	16
64418	74	0	0	0		0						188	20
3269	77	0	0	0		0						189	0
1723	43	0	0	0		0						196	7
76862	86	0	0	0		0						201	12
27814	94	0	0	0		0						218	8
84747	75	0	0	0		0						236	5
13688	80	0	0	0		0						254	2
42978	138	0	0	0		0						257	5
26437	61	0	0	0		0						296	2
87723	27	0	0	0		0						300	6
32354	98	0	0	0		0						321	6
72268	28	0	0	0		0						348	12
78795	3	0	0	0		0						351	15
87110	86	0	0	0		0						353	17
13336	64	0	0	0		0						391	13
14698	82	0	0	0		0						391	13
35676	60	0	0	0		0						392	14
44273	89	0	0	0		0						411	12
20702	38	0	0	0		0						413	14
37866	66	0	0	0		0						416	17
20044	52	0	0	0		0						431	11
40295	143	0	0	0		0						443	2
61990	166	0	0	0		0						463	1
66101	77	0	0	0		0						469	7
79858	58	0	0	0		0						473	11
23895	39	0	0	0		0						485	2
46221	21	0	0	0		0						489	6
14898	114	0	0	0		0						496	13
23404	52	0	0	0		0						500	17
5022	150	0	0	0		0						506	2
49918	22	0	0	0		0						506	2
85452	108	0	0	0		0						543	18
47063	23	0	0	0		0						543	18
8584	16	0	0	0		0						548	2
852	12	0	0	0		0						566	20
42715	43	0	0	0		0						567	0
49574	14	0	0	0		0						569	2
16075	115	0	0	0		0						574	7
9056	152	0	0	0		0						582	15
61997	5	0	0	0		0						582	15
40688	32	0	0	0		0						582	15
40641	153	0	0	0		0						584	17
78726	102	0	0	0		0						585	18
44470	118	0	0	0		0						595	7
7318	94	0	0	0		0						600	12
83474	146	0	0	0		0						604	16
80200	64	0	0	0		0						610	1
9927	15	0	0	0		0						620	11
4682	146	0	0	0		0						622	13
40058	74	0	0	0		0						628	19
45746	50	0	0	0		0						630	0
61215	63	0	0	0		0						647	17
14070	126	0	0	0		0						651	0
27354	138	0	0	0		0						660	9
11877	117	0	0	0		0						682	10
65741	53	0	0	0		0						707	14
